Francine,Palau,66,N,730248
Kam,Swindler,34,Y,468119
Migdalia,Constable,62,Y,493364
Larry,Johnson,45,N,710708
Cedrick,Whitting,30,Y,722619
Evelynn,Reising,68,N,451456
Flor,Wixon,47,N,710822
Howard,Johnson,53,N,438503
Robert,Paulson,16,N,666999
Bailey,Kimsey,50,Y,489617
Jerrica,Woo,20,N,892411
Billy,Gunn,18,Y,569138
Branden,Bartel,49,Y,184273
Maryalice,Crow,21,Y,764832
Hailey,Morris,47,N,608059
Cheyenne,Diehl,75,Y,679397
Geraldine,Streit,19,N,409136
Rory,Zank,38,Y,162945
Ty,Hill,18,Y,123456
Janelle,Cuff,75,Y,350092
Nikia,Brucker,57,N,364666
William,Boes,71,Y,414943
Leona,Weller,36,N,412133
Lela,Streit,51,Y,727911
Davida,Hartranft,71,N,670018
Morgan,Girard,29,Y,809264
Antione,Streit,38,Y,661175
Kirby,Arline,71,Y,187333
Malka,Apicella,37,Y,364787
Kacy,Zuccaro,73,N,674062
Jerlene,Boes,73,N,386365
Laurie,Boes,34,Y,295222
Crab,Apple,17,N,888999
Jarrod,Fichter,28,N,632892
Edythe,Royals,52,Y,412256
Claudette,Dumont,22,N,196029
Harland,Gerstner,70,Y,109270
Sabra,Nolin,32,N,882190
Sonny,Johnson,31,N,837679
Monte,Hulett,49,Y,128055
Linsey,Mulloy,68,N,666049
Cyrus,Mckillip,19,N,564015
Dara,Sadowski,33,N,190400
Herman,Moates,42,N,258557
Howard,Zank,65,N,599381
Maxima,Harada,33,N,879187
Queen,Sackrider,16,N,600807
Rosie,Carder,73,N,587389
Shiloh,Clairmont,25,Y,604970
Sheryl,Dykema,62,Y,156943
Theodora,Ammann,22,N,892162
Rosetta,Streit,62,Y,238938
Zelma,Brackens,51,N,696127
Laree,Julius,34,Y,728400
Kira,Tillett,46,N,702861
Alayna,Mayville,17,Y,414247
Paulette,Streit,22,N,349362
Fidel,Oceguera,19,Y,476300
